t=2026-05-13T12:07:02+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-13T12:07:02+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-13T12:07:02+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-13T12:07:02+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-13T12:07:02+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-13T12:07:03+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-13T12:07:03+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-13T12:19:20+0700 lvl=info msg="join connections" obj=join id=2c68c10df56c l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:19:32+0700 lvl=info msg="join connections" obj=join id=2f7fb44c56a6 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:19:42+0700 lvl=info msg="join connections" obj=join id=3d7654436ae9 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:19:42+0700 lvl=info msg="join connections" obj=join id=0a16b0c7dc03 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:19:52+0700 lvl=info msg="join connections" obj=join id=5782a8ea65cf l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:03+0700 lvl=info msg="join connections" obj=join id=3b8cf549fdaa l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:08+0700 lvl=info msg="join connections" obj=join id=a8f3ea1f897a l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:23+0700 lvl=info msg="join connections" obj=join id=dd16d3166c25 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:23+0700 lvl=info msg="join connections" obj=join id=b8df5e124b2c l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:26+0700 lvl=info msg="join connections" obj=join id=656cb0f55473 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:26+0700 lvl=info msg="join connections" obj=join id=4e4acb7a6495 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:20:47+0700 lvl=info msg="join connections" obj=join id=ae8713003d47 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:04+0700 lvl=info msg="join connections" obj=join id=bd385560fdb5 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:21:05+0700 lvl=info msg="join connections" obj=join id=062637496ccb l=[::1]:5000 r=101.99.45.158:56332
